1,1,732.56,262.13,69.78000000000009,46.170000000000016,1,1,1.0
1,2,206.6,243.0,104.1,51.60000000000002,1,1,1.0
2,1,538.25,241.95,49.35000000000002,45.05000000000001,1,1,1.0
2,2,93.8,328.9,143.86,71.94,1,1,1.0
2,3,718.6,267.7,78.37,41.879999999999995,1,1,1.0
3,1,206.6,241.9,98.70000000000002,52.70000000000002,1,1,1.0
3,2,72.33,333.2,143.86,71.93,1,1,1.0
3,3,703.57,269.85,78.37,41.879999999999995,1,1,1.0
4,1,206.6,243.15,98.70000000000002,51.45000000000002,1,1,1.0
4,2,50.86,335.34,143.86,71.94,1,1,1.0
4,3,691.76,271.99,78.37,41.889999999999986,1,1,1.0
5,1,206.6,244.4,98.70000000000002,50.20000000000002,1,1,1.0
5,2,21.88,345.0,148.22,67.60000000000002,1,1,1.0
5,3,676.73,275.21,78.37,41.89000000000004,1,1,1.0
6,1,206.6,245.65,98.70000000000002,48.95000000000002,1,1,1.0
6,2,0.41,347.1,146.09,70.87,1,1,1.0
6,3,666.0,275.21,76.20000000000005,41.89000000000004,1,1,1.0
7,1,206.6,246.9,98.70000000000002,47.70000000000002,1,1,1.0
7,2,0.41,347.1,128.89000000000001,74.09999999999997,1,1,1.0
7,3,652.0,275.21,75.20000000000005,42.99000000000001,1,1,1.0
8,1,206.6,248.15,98.70000000000002,46.45000000000002,1,1,1.0
8,2,0.41,347.1,106.39,77.29999999999995,1,1,1.0
8,3,635.9,275.21,83.80000000000007,46.19,1,1,1.0
9,1,206.6,249.4,98.70000000000002,45.20000000000002,1,1,1.0
9,2,0.41,347.1,80.59,77.29999999999995,1,1,1.0
9,3,620.9,275.21,81.60000000000002,49.39000000000004,1,1,1.0
10,1,206.6,249.4,98.70000000000002,45.20000000000002,1,1,1.0
10,2,0.41,363.2,52.690000000000005,66.60000000000002,1,1,1.0
10,3,602.7,280.6,85.79999999999995,47.19999999999999,1,1,1.0
11,1,206.6,249.4,98.70000000000002,45.20000000000002,1,1,1.0
11,2,0.41,363.2,30.39,66.60000000000002,1,1,1.0
11,3,590.9,280.6,86.89999999999998,47.19999999999999,1,1,1.0
12,1,206.6,249.4,98.70000000000002,45.20000000000002,1,1,1.0
12,3,575.9,280.6,87.89999999999998,52.5,1,1,1.0
13,1,206.6,249.4,98.70000000000002,45.20000000000002,1,1,1.0
13,3,553.4,283.8,94.30000000000007,52.5,1,1,1.0
14,1,206.6,249.4,98.70000000000002,45.20000000000002,1,1,1.0
14,3,541.6,283.8,90.0,53.599999999999966,1,1,1.0
15,1,206.6,249.4,98.70000000000002,45.20000000000002,1,1,1.0
15,3,524.4,290.2,93.20000000000005,51.5,1,1,1.0
16,1,206.6,249.4,98.70000000000002,45.20000000000002,1,1,1.0
16,3,509.4,290.2,94.20000000000005,53.60000000000002,1,1,1.0
17,1,206.6,249.4,98.70000000000002,45.20000000000002,1,1,1.0
17,3,490.1,296.6,98.5,56.799999999999955,1,1,1.0
18,1,206.6,249.4,98.70000000000002,45.20000000000002,1,1,1.0
18,3,476.1,296.6,92.10000000000002,54.69999999999999,1,1,1.0
